idBoT,ownerID,nDep,arrival,nTasks,nbInstructions,Memory,[ID_dep],,,,,
0,0,0,0,4,400000,50,,,,,,
1,0,1,0,1,100000,50,0,,,,,
2,0,1,0,1,100000,50,1,,,,,
3,0,2,0,1,100000,50,2,1,,,,
4,0,1,0,3,300000,50,1,,,,,
5,0,4,0,1,100000,50,3,4,1,7,,
6,0,0,0,18,1800000,50,,,,,,
7,0,1,0,1,100000,50,6,,,,,
8,1,0,300,4,400000,50,,,,,,
9,1,1,300,1,100000,50,8,,,,,
10,1,1,300,1,100000,50,9,,,,,
11,1,2,300,1,100000,50,10,9,,,,
12,1,1,300,3,300000,50,9,,,,,
13,1,4,300,1,100000,50,11,12,9,15,,
14,1,0,300,18,1800000,50,,,,,,
15,1,1,300,1,100000,50,14,,,,,
16,2,0,600,4,400000,50,,,,,,
17,2,1,600,1,100000,50,16,,,,,
18,2,1,600,1,100000,50,17,,,,,
19,2,2,600,1,100000,50,18,17,,,,
20,2,1,600,3,300000,50,17,,,,,
21,2,4,600,1,100000,50,19,20,17,23,,
22,2,0,600,18,1800000,50,,,,,,
23,2,1,600,1,100000,50,22,,,,,
,,,,,,,,,,,,
idBoT,ownerID,nDep,arrival,nTasks,nbInstructions,Memory,[ID_dep],,,,,
24,3,0,0,5,500000,50,,,,,,
25,3,0,0,4,400000,50,,,,,,
26,3,1,0,5,500000,50,0,,,,,
27,3,1,0,4,400000,50,1,,,,,
28,3,1,0,1,100000,50,2,,,,,
29,3,1,0,1,100000,50,3,,,,,
30,3,1,0,5,500000,50,4,,,,,
31,3,1,0,4,400000,50,5,,,,,
32,3,1,0,5,500000,50,6,,,,,
33,3,1,0,4,400000,50,7,,,,,
34,3,1,0,1,100000,50,8,,,,,
35,3,1,0,1,100000,50,9,,,,,
36,4,0,300,5,500000,50,,,,,,
37,4,0,300,4,400000,50,,,,,,
38,4,1,300,5,500000,50,12,,,,,
39,4,1,300,4,400000,50,13,,,,,
40,4,2,300,1,100000,50,14,,,,,
41,4,2,300,1,100000,50,15,,,,,
42,4,3,300,5,500000,50,16,,,,,
43,4,3,300,4,400000,50,17,,,,,
44,4,4,300,5,500000,50,18,,,,,
45,4,4,300,4,400000,50,19,,,,,
46,4,5,300,1,100000,50,20,,,,,
47,4,5,300,1,100000,50,21,,,,,
48,5,0,600,5,500000,50,,,,,,
49,5,0,600,4,400000,50,,,,,,
50,5,1,600,5,500000,50,24,,,,,
51,5,1,600,4,400000,50,25,,,,,
52,5,2,600,1,100000,50,26,,,,,
53,5,2,600,1,100000,50,27,,,,,
54,5,3,600,5,500000,50,28,,,,,
55,5,3,600,4,400000,50,29,,,,,
56,5,4,600,5,500000,50,30,,,,,
57,5,4,600,4,400000,50,31,,,,,
58,5,5,600,1,100000,50,32,,,,,
59,5,5,600,1,100000,50,33,,,,,
,,,,,,,,,,,,
idBoT,ownerID,nDep,arrival,nTasks,nbInstructions,Memory,[ID_dep],,,,,
60,6,0,0,1,100000,50,,,,,,
61,6,0,0,1,100000,50,,,,,,
62,6,0,0,1,100000,50,,,,,,
63,6,0,0,1,100000,50,,,,,,
64,6,2,0,1,100000,50,0,1,,,,
65,6,2,0,1,100000,50,0,1,,,,
66,6,2,0,1,100000,50,1,2,,,,
