User,UserId,Host,HostId,nbInst
user00,0,UFPel,1,9400118
user00,0,UFPel,2,3800007
user00,0,UFPel,3,20400482
user01,1,UFSM,4,9700282
user01,1,UFSM,5,9100013
user01,1,UFSM,6,7500071
user01,1,UFSM,7,7300044
user02,2,IFSul,9,16800318
user02,2,IFSul,10,5600107
user02,2,IFSul,11,11200011
user03,3,UFPel,2,14900087
user03,3,UFPel,3,18700198
user04,4,UFSM,4,28100387
user04,4,UFSM,6,5500069
user05,5,IFSul,8,12800148
user05,5,IFSul,9,5800074
user05,5,IFSul,11,15000307
user06,6,UFPel,2,26000358
user06,6,UFPel,3,7600059
user07,7,UFSM,5,16600376
user07,7,UFSM,6,5900119
user07,7,UFSM,7,11100131
user08,8,IFSul,9,5800041
user08,8,IFSul,10,20300401
user08,8,IFSul,11,7500011
user09,9,UFPel,0,7400090
user09,9,UFPel,1,11500078
user09,9,UFPel,2,7300080
user09,9,UFPel,3,7400149
user10,10,UFSM,5,26300360
user10,10,UFSM,7,7300010
user11,11,IFSul,8,11500079
user11,11,IFSul,9,9300139
user11,11,IFSul,10,12800275
user12,12,UFPel,1,11200122
user12,12,UFPel,2,20300117
user12,12,UFPel,3,2100035
user13,13,UFSM,4,12900111
user13,13,UFSM,5,14600372
user13,13,UFSM,7,6100043
user14,14,IFSul,8,16800228
user14,14,IFSul,9,2000026
user14,14,IFSul,10,14800196
user15,15,UFPel,0,9400048
user15,15,UFPel,1,14900091
user15,15,UFPel,3,9300184
user16,16,UFSM,4,9100099
user16,16,UFSM,5,13400224
user16,16,UFSM,6,11100179
user17,17,IFSul,8,12800029
user17,17,IFSul,9,14800293
user17,17,IFSul,11,6000060
user18,18,UFPel,1,3800038
user18,18,UFPel,2,25900262
user18,18,UFPel,3,3900054
user19,19,UFSM,4,12900359
user19,19,UFSM,6,18600175
user19,19,UFSM,7,2100024
user20,20,IFSul,8,16500278
user20,20,IFSul,10,7800130
user20,20,IFSul,11,9300122
user21,21,UFPel,0,13300155
user21,21,UFPel,3,20300386
user22,22,UFSM,4,11500051
user22,22,UFSM,6,11000013
user22,22,UFSM,7,11100055
user23,23,IFSul,8,22400313
user23,23,IFSul,11,11200127
user24,24,UFPel,2,22600307
user24,24,UFPel,3,11000240
user25,25,UFSM,6,29500266
user25,25,UFSM,7,4100038
user26,26,IFSul,9,20400074
user26,26,IFSul,10,5800140
user26,26,IFSul,11,7400106
user27,27,UFPel,0,22500185
user27,27,UFPel,1,11100098
user28,28,UFSM,4,11200130
user28,28,UFSM,5,9700098
user28,28,UFSM,6,12700247
user29,29,IFSul,8,7600047
user29,29,IFSul,9,14900187
user29,29,IFSul,11,11100062
user30,30,UFPel,0,7600105
user30,30,UFPel,1,12800139
user30,30,UFPel,3,13200097
user31,31,UFSM,5,20100318
user31,31,UFSM,7,13500119
user32,32,IFSul,8,11000347
user32,32,IFSul,9,9100000
user32,32,IFSul,11,13500165
user33,33,UFPel,1,26100451
user33,33,UFPel,2,7500067
user34,34,UFSM,4,14700360
user34,34,UFSM,6,9300098
user34,34,UFSM,7,9600135
user35,35,IFSul,8,20200395
user35,35,IFSul,9,9400089
user35,35,IFSul,11,4000050
user36,36,UFPel,0,4100048
user36,36,UFPel,2,12900242
user36,36,UFPel,3,16600255
user37,37,UFSM,4,18700371
user37,37,UFSM,5,5800045
user37,37,UFSM,7,9100238
user38,38,IFSul,8,5700014
user38,38,IFSul,9,16300338
user38,38,IFSul,10,2100060
user38,38,IFSul,11,9500147
user39,39,UFPel,1,11500078
user39,39,UFPel,2,7300080
user39,39,UFPel,3,14800197
user40,40,UFSM,4,26000438
user40,40,UFSM,7,7600172
user41,41,IFSul,8,7500071
user41,41,IFSul,9,20600092
user41,41,IFSul,10,5500092
user42,42,UFPel,0,20200151
user42,42,UFPel,2,13400275
user43,43,UFSM,4,9400137
user43,43,UFSM,7,24200265
user44,44,IFSul,8,9500297
user44,44,IFSul,9,5800048
user44,44,IFSul,11,18300286
user45,45,UFPel,0,16700098
user45,45,UFPel,1,9200086
user45,45,UFPel,3,7700093
user46,46,UFSM,5,9300228
user46,46,UFSM,6,12700247
user46,46,UFSM,7,11600136
user47,47,IFSul,9,16700191
user47,47,IFSul,10,11000085
user47,47,IFSul,11,5900028
user48,48,UFPel,0,3800032
user48,48,UFPel,1,9200074
user48,48,UFPel,2,5900063
user48,48,UFPel,3,14700288
user49,49,UFSM,4,9300116
user49,49,UFSM,5,3900061
user49,49,UFSM,7,20400165
user50,50,IFSul,8,13000159
user50,50,IFSul,11,20600155
user51,51,UFPel,0,7600106
user51,51,UFPel,1,5500057
user51,51,UFPel,2,20500384
user52,52,UFSM,4,22300162
user52,52,UFSM,6,11300047
user53,53,IFSul,8,4000050
user53,53,IFSul,9,29600329
user54,54,UFPel,0,12900287
user54,54,UFPel,2,7500074
user54,54,UFPel,3,13200228
user55,55,UFSM,4,12900379
user55,55,UFSM,5,9300162
user55,55,UFSM,6,2100053
user55,55,UFSM,7,9300332
user56,56,IFSul,8,9400018
user56,56,IFSul,9,5900030
user56,56,IFSul,10,10800108
user56,56,IFSul,11,7500028
user57,57,UFPel,1,7400104
user57,57,UFPel,2,26200305
user58,58,UFSM,4,5700017
user58,58,UFSM,5,4000071
user58,58,UFSM,6,12900115
user58,58,UFSM,7,11000047
user59,59,IFSul,8,16600125
user59,59,IFSul,11,17000256
user60,60,UFPel,0,7600058
user60,60,UFPel,2,9400101
user60,60,UFPel,3,16600431
user61,61,UFSM,4,16600169
user61,61,UFSM,6,17000227
user62,62,IFSul,9,18800239
user62,62,IFSul,10,3900124
user62,62,IFSul,11,10900294
user63,63,UFPel,1,16900170
user63,63,UFPel,2,16700075
user64,64,UFSM,4,12700193
user64,64,UFSM,6,4100146
user65,65,IFSul,8,9500211
user65,65,IFSul,9,3600065
user65,65,IFSul,10,3700140
user66,66,UFPel,0,2900130
user66,66,UFPel,1,4700056
user66,66,UFPel,2,9200211
user67,67,UFSM,4,12200294
user67,67,UFSM,6,4600170
user68,68,IFSul,8,4000086
user68,68,IFSul,10,4300266
user68,68,IFSul,11,8500306
