Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,0,2,251441
UFPelH1,1,0,0,0,0,0,0,0,2,1866678
UFPelH2,2,0,0,0,0,0,0,0,2,1866678
UFPelH3,3,0,0,0,0,0,0,0,2,1440477
UFSMH4,4,0,0,0,0,0,0,0,2,1899992
UFSMH5,5,0,0,0,0,0,0,0,2,351865
UFSMH6,6,0,0,0,0,0,0,0,2,1849988
UFSMH7,7,0,0,0,0,0,0,0,938149,323121
IFSulH8,8,0,0,0,0,0,0,0,2,1866672
IFSulH9,9,0,0,0,0,0,0,0,2,299937
IFSulH10,10,0,0,0,0,0,0,0,2,895742
IFSulH11,11,0,0,0,0,0,0,0,2,1186088
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
