User,UserId,Host,HostId,nbInst
user00,0,Burst,12,5600010
user00,0,Burst,13,10900006
user00,0,Burst,14,9300010
user00,0,Burst,15,7800004
user01,1,Burst,13,24100012
user01,1,Burst,15,9500009
user02,2,Burst,12,3900000
user02,2,Burst,13,9100010
user02,2,Burst,14,20600017
user03,3,Burst,12,9400010
user03,3,Burst,13,7500006
user03,3,Burst,14,5600003
user03,3,Burst,15,11100006
user04,4,Burst,12,16600019
user04,4,Burst,13,17000010
user05,5,Burst,14,6000011
user05,5,Burst,15,27600003
user06,6,Burst,14,14900008
user06,6,Burst,15,18700010
user07,7,Burst,14,9100010
user07,7,Burst,15,24500020
user08,8,Burst,12,20700010
user08,8,Burst,13,3800000
user08,8,Burst,15,9100005
user09,9,Burst,12,13000000
user09,9,Burst,14,9500000
user09,9,Burst,15,11100000
user10,10,Burst,12,15400000
user10,10,Burst,13,9100000
user10,10,Burst,15,9100000
user11,11,Burst,12,24000000
user11,11,Burst,13,5600002
user11,11,Burst,14,4000004
user12,12,Burst,13,9000010
user12,12,Burst,14,3900003
user12,12,Burst,15,20700019
user13,13,Burst,13,26400010
user13,13,Burst,15,7200004
user14,14,Burst,12,11100012
user14,14,Burst,13,5700000
user14,14,Burst,14,16800010
user15,15,Burst,12,3800000
user15,15,Burst,13,11100007
user15,15,Burst,15,18700012
user16,16,Burst,12,7600010
user16,16,Burst,14,13100006
user16,16,Burst,15,12900007
user17,17,Burst,12,7600004
user17,17,Burst,13,7300010
user17,17,Burst,15,18700014
user18,18,Burst,12,9600010
user18,18,Burst,14,5800002
user18,18,Burst,15,18200004
user19,19,UFSM,4,13410
user19,19,UFSM,5,210582
user19,19,UFSM,6,26159
user19,19,Burst,12,24249853
user19,19,Burst,14,9100000
user20,20,IFSul,9,17976
user20,20,IFSul,10,91032
user20,20,Burst,12,10990998
user20,20,Burst,13,14900010
user20,20,Burst,14,7600000
user21,21,Burst,12,5700000
user21,21,Burst,13,10900006
user21,21,Burst,14,17000014
user22,22,Burst,12,15200000
user22,22,Burst,13,12700000
user22,22,Burst,15,5700005
user23,23,Burst,12,12900005
user23,23,Burst,14,9500010
user23,23,Burst,15,11200000
user24,24,UFPel,1,10990
user24,24,UFPel,2,25116
user24,24,Burst,14,20263899
user24,24,Burst,15,13300009
user25,25,Burst,12,11600020
user25,25,Burst,13,12800000
user25,25,Burst,14,9200010
user26,26,Burst,12,12800000
user26,26,Burst,13,7700004
user26,26,Burst,14,5800008
user26,26,Burst,15,7300008
user27,27,Burst,14,15100011
user27,27,Burst,15,18500005
user28,28,UFSM,4,49742
user28,28,UFSM,5,106194
user28,28,Burst,12,9100005
user28,28,Burst,13,16544064
user28,28,Burst,14,7800004
user29,29,Burst,12,31300000
user29,29,Burst,15,2300005
user30,30,Burst,12,22400000
user30,30,Burst,14,1900000
user30,30,Burst,15,9300000
user31,31,Burst,12,15000000
user31,31,Burst,13,9400000
user31,31,Burst,15,9200005
user32,32,Burst,12,5700000
user32,32,Burst,13,7500005
user32,32,Burst,14,12800000
user32,32,Burst,15,7600004
user33,33,Burst,13,7800006
user33,33,Burst,14,20300010
user33,33,Burst,15,5500005
user34,34,Burst,13,7600000
user34,34,Burst,14,18600015
user34,34,Burst,15,7400004
user35,35,Burst,12,9100000
user35,35,Burst,13,9200010
user35,35,Burst,14,9300005
user35,35,Burst,15,6000011
user36,36,Burst,12,11600008
user36,36,Burst,13,16500002
user36,36,Burst,14,5500000
user37,37,Burst,12,3700000
user37,37,Burst,13,9400010
user37,37,Burst,14,11200007
user37,37,Burst,15,9300010
user38,38,IFSul,9,22350
user38,38,IFSul,10,136480
user38,38,IFSul,11,18198
user38,38,Burst,13,7700011
user38,38,Burst,14,12700000
user38,38,Burst,15,13022987
user39,39,UFPel,0,316756
user39,39,UFPel,1,20332
user39,39,UFPel,2,9860
user39,39,UFPel,3,10132
user39,39,Burst,12,17000020
user39,39,Burst,14,12800000
user39,39,Burst,15,3442924
user40,40,Burst,12,7500010
user40,40,Burst,13,7500004
user40,40,Burst,15,18600005
user41,41,Burst,12,5800000
user41,41,Burst,13,9300010
user41,41,Burst,14,18500010
user42,42,Burst,12,18500000
user42,42,Burst,13,9300000
user42,42,Burst,15,5800003
user43,43,Burst,12,5600000
user43,43,Burst,13,3700000
user43,43,Burst,14,5800011
user43,43,Burst,15,18500000
user44,44,Burst,12,7700004
user44,44,Burst,13,7400004
user44,44,Burst,14,18500015
user45,45,Burst,12,10900000
user45,45,Burst,14,16800020
user45,45,Burst,15,5900005
user46,46,Burst,12,9300005
user46,46,Burst,13,7300010
user46,46,Burst,14,9300012
user46,46,Burst,15,7700004
user47,47,Burst,12,9400000
user47,47,Burst,13,11500020
user47,47,Burst,14,12700000
user48,48,Burst,12,23800012
user48,48,Burst,14,9800017
user49,49,UFSM,6,10984
user49,49,UFSM,7,5589112
user49,49,Burst,12,14600000
user49,49,Burst,15,13400013
user50,50,Burst,13,16900001
user50,50,Burst,14,16700000
user51,51,Burst,13,9200000
user51,51,Burst,14,17100028
user51,51,Burst,15,7300004
user52,52,Burst,14,15400016
user52,52,Burst,15,18200000
user53,53,Burst,12,7400010
user53,53,Burst,13,18800010
user53,53,Burst,14,7400003
user54,54,Burst,12,14700000
user54,54,Burst,13,11400016
user54,54,Burst,14,7500012
user55,55,Burst,12,9300010
user55,55,Burst,13,20500026
user55,55,Burst,15,3800006
user56,56,Burst,12,22400010
user56,56,Burst,14,11200000
user57,57,Burst,12,9300000
user57,57,Burst,13,2200002
user57,57,Burst,15,22100012
user58,58,Burst,14,13400016
user58,58,Burst,15,20200005
user59,59,Burst,12,13600010
user59,59,Burst,13,12700000
user59,59,Burst,14,7300008
user60,60,Burst,13,16800020
user60,60,Burst,14,7500012
user60,60,Burst,15,9300000
user61,61,Burst,12,9300000
user61,61,Burst,13,7500005
user61,61,Burst,15,16800009
user62,62,Burst,12,12900000
user62,62,Burst,14,5700002
user62,62,Burst,15,15000003
user63,63,Burst,13,10900006
user63,63,Burst,14,7400000
user63,63,Burst,15,15300015
user64,64,UFSM,4,80664
user64,64,UFSM,5,138648
user64,64,Burst,13,6800000
user64,64,Burst,14,5680692
user64,64,Burst,15,4100013
user65,65,Burst,12,4600000
user65,65,Burst,13,3900004
user65,65,Burst,14,8300023
user66,66,UFPel,2,57030
user66,66,Burst,12,4700000
user66,66,Burst,13,12042979
user67,67,Burst,12,5500000
user67,67,Burst,13,11300000
user68,68,Burst,13,7400004
user68,68,Burst,14,2400009
user68,68,Burst,15,7000015
user69,69,Burst,13,4400004
user69,69,Burst,15,12400044
user70,70,Burst,12,7700000
user70,70,Burst,15,9100034
user71,71,Burst,12,8700014
user71,71,Burst,13,2900000
user71,71,Burst,14,5200010
user72,72,UFPel,0,311168
user72,72,UFPel,1,6200
user72,72,UFPel,2,42172
user72,72,Burst,12,7840464
user72,72,Burst,13,8600000
user73,73,Burst,13,5000000
user73,73,Burst,14,3800001
user73,73,Burst,15,8000028
user74,74,Burst,12,3200002
user74,74,Burst,14,9900031
user74,74,Burst,15,3700017
user75,75,Burst,14,16800027
user76,76,Burst,13,16800044
user77,77,Burst,12,3900000
user77,77,Burst,13,7500008
user77,77,Burst,15,5400015
user78,78,Burst,13,3300000
user78,78,Burst,14,11800008
user78,78,Burst,15,1700007
user79,79,Burst,12,4200000
user79,79,Burst,13,8000012
user79,79,Burst,15,4600016
user80,80,Burst,12,2800000
user80,80,Burst,13,9000011
user80,80,Burst,15,5000024
user81,81,UFPel,0,251088
user81,81,UFPel,1,20264
