Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,463921,11425,2406,1228,647,0,0,863,3852
UFPelH1,1,2952,3047,56,32,254,279,1213,1046,3598
UFPelH2,2,31514,3178,112,384,245,384,692,1353,3239
UFPelH3,3,368444,29811,1357,727,818,888,1210,1755,0
UFSMH4,4,214155,7008,933,897,110,0,211,353,3847
UFSMH5,5,438010,39020,3243,586,277,0,1837,1954,404
UFSMH6,6,0,0,0,466847,7079,2308,804,2524,3770
UFSMH7,7,57243,2553,690,316,386,0,66,986,3682
IFSulH8,8,0,0,0,0,46737,3440,291,466,5257
IFSulH9,9,412221,20719,834,88,468,0,2,2,5209
IFSulH10,10,0,0,0,0,0,0,8597,2314,5698
IFSulH11,11,366486,37676,2697,2095,211,546,617,2,4600
BurstH12,12,0,0,0,0,0,0,0,0,1180829
BurstH13,13,0,0,0,0,0,0,0,0,1172500
BurstH14,14,0,0,0,0,0,0,0,0,900830
BurstH15,15,0,0,0,0,0,0,0,0,1161781
