Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,0,0,2200020
UFPelH1,1,0,0,0,0,0,0,0,0,2200012
UFPelH2,2,0,0,0,0,0,0,0,0,199984
UFPelH3,3,0,0,0,0,0,0,0,0,2200012
UFSMH4,4,0,0,0,0,0,0,0,0,2200012
UFSMH5,5,0,0,0,0,0,0,0,0,599970
UFSMH6,6,0,0,0,0,0,0,0,0,2200012
UFSMH7,7,0,0,0,0,0,0,0,0,2125004
IFSulH8,8,0,0,0,0,0,0,0,0,2200012
IFSulH9,9,0,0,0,0,0,0,0,0,2200012
IFSulH10,10,0,0,0,0,0,0,0,0,599950
IFSulH11,11,0,0,0,0,0,0,0,0,2150010
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
