User,UserId,Host,HostId,nbInst
user00,0,Burst,12,9200005
user00,0,Burst,13,14900019
user00,0,Burst,14,9500000
user01,1,Burst,12,7500012
user01,1,Burst,13,11100012
user01,1,Burst,15,15000002
user02,2,Burst,12,13300000
user02,2,Burst,13,20300000
user03,3,Burst,13,24500016
user03,3,Burst,14,9100015
user04,4,Burst,13,33600022
user05,5,Burst,13,7600004
user05,5,Burst,14,26000010
user06,6,UFPel,0,4191826
user06,6,UFPel,2,8344
user06,6,Burst,12,11100010
user06,6,Burst,14,18300006
user07,7,Burst,12,22500019
user07,7,Burst,13,11100006
user08,8,Burst,12,20200028
user08,8,Burst,13,13400012
user09,9,Burst,12,11000000
user09,9,Burst,13,14900011
user09,9,Burst,15,7700008
user10,10,Burst,13,23800004
user10,10,Burst,14,4100011
user10,10,Burst,15,5700010
user11,11,Burst,12,20200009
user11,11,Burst,13,7600008
user11,11,Burst,15,5800012
user12,12,Burst,13,22000018
user12,12,Burst,14,4000008
user12,12,Burst,15,7600004
user13,13,UFSM,5,13428
user13,13,Burst,12,24186584
user13,13,Burst,14,9400010
user14,14,IFSul,10,12516
user14,14,Burst,12,7400010
user14,14,Burst,13,26187499
user15,15,Burst,12,29900034
user15,15,Burst,14,3700004
user16,16,Burst,12,5600000
user16,16,Burst,13,9200010
user16,16,Burst,14,9300005
user16,16,Burst,15,9500000
user17,17,Burst,12,5700002
user17,17,Burst,13,7500002
user17,17,Burst,14,5500006
user17,17,Burst,15,14900000
user18,18,Burst,12,7600014
user18,18,Burst,13,16700007
user18,18,Burst,14,9300005
user19,19,Burst,12,9100015
user19,19,Burst,14,6000006
user19,19,Burst,15,18500004
user20,20,IFSul,8,11920
user20,20,IFSul,10,11920
user20,20,IFSul,11,9076260
user20,20,Burst,13,7500008
user20,20,Burst,15,17000020
user21,21,Burst,12,11000000
user21,21,Burst,13,2000002
user21,21,Burst,14,7800006
user21,21,Burst,15,12800007
user22,22,Burst,13,7500004
user22,22,Burst,14,20400012
user22,22,Burst,15,5700002
user23,23,Burst,13,11100006
user23,23,Burst,14,22500016
user24,24,Burst,13,5600009
user24,24,Burst,14,16800021
user24,24,Burst,15,11200014
user25,25,Burst,12,9300015
user25,25,Burst,14,5800007
user25,25,Burst,15,18500024
user26,26,Burst,12,18500022
user26,26,Burst,14,7500005
user26,26,Burst,15,7600008
user27,27,Burst,13,3800008
user27,27,Burst,14,29800025
user28,28,Burst,12,16900007
user28,28,Burst,13,7600008
user28,28,Burst,14,9100005
user29,29,Burst,13,18600009
user29,29,Burst,14,9400017
user29,29,Burst,15,5600000
user30,30,Burst,13,14600000
user30,30,Burst,14,5800006
user30,30,Burst,15,13200014
user31,31,Burst,12,11100002
user31,31,Burst,14,22500026
user32,32,Burst,12,6000014
user32,32,Burst,14,20100012
user32,32,Burst,15,7500010
user33,33,Burst,12,300000
user33,33,Burst,15,33300004
user34,34,Burst,12,7700004
user34,34,Burst,13,7400009
user34,34,Burst,15,18500010
user35,35,Burst,12,7300000
user35,35,Burst,13,5700008
user35,35,Burst,14,9500000
user35,35,Burst,15,11100014
user36,36,Burst,12,7300000
user36,36,Burst,13,7500002
user36,36,Burst,15,18800021
user37,37,Burst,12,20800016
user37,37,Burst,15,12800009
user38,38,Burst,12,7400010
user38,38,Burst,13,9500010
user38,38,Burst,14,14700016
user38,38,Burst,15,2000000
user39,39,Burst,13,16900009
user39,39,Burst,14,7500002
user39,39,Burst,15,9200012
user40,40,Burst,13,5600008
user40,40,Burst,14,20700011
user40,40,Burst,15,7300010
user41,41,Burst,12,15000000
user41,41,Burst,13,7600007
user41,41,Burst,14,11000016
user42,42,Burst,12,5800002
user42,42,Burst,14,20300005
user42,42,Burst,15,7500004
user43,43,UFSM,6,15552
user43,43,Burst,12,11200014
user43,43,Burst,13,18484456
user43,43,Burst,15,3900000
user44,44,Burst,12,20400029
user44,44,Burst,13,4000004
user44,44,Burst,14,9200005
user45,45,Burst,13,24400018
user45,45,Burst,14,9200015
user46,46,Burst,12,5700002
user46,46,Burst,13,20200006
user46,46,Burst,15,7700000
user47,47,Burst,13,20600007
user47,47,Burst,14,5700000
user47,47,Burst,15,7300002
user48,48,Burst,13,22600010
user48,48,Burst,14,11000007
user49,49,Burst,12,22100024
user49,49,Burst,14,3800008
user49,49,Burst,15,7700008
user50,50,Burst,12,26000014
user50,50,Burst,14,7600012
user51,51,Burst,13,22000000
user51,51,Burst,15,11600002
user52,52,Burst,13,7600008
user52,52,Burst,14,14900024
user52,52,Burst,15,11100007
user53,53,Burst,12,16300009
user53,53,Burst,14,9700007
user53,53,Burst,15,7600012
user54,54,Burst,12,9400012
user54,54,Burst,14,11200012
user54,54,Burst,15,13000000
user55,55,Burst,14,7500002
user55,55,Burst,15,26100014
user56,56,Burst,12,13400015
user56,56,Burst,15,20200012
user57,57,Burst,12,18200010
user57,57,Burst,13,11400008
user57,57,Burst,14,4000008
user58,58,Burst,14,9200005
user58,58,Burst,15,24400026
user59,59,Burst,12,11400002
user59,59,Burst,13,14700018
user59,59,Burst,15,7500012
user60,60,Burst,13,18700016
user60,60,Burst,15,14900022
user61,61,Burst,14,20000027
user61,61,Burst,15,13600019
user62,62,Burst,12,7300010
user62,62,Burst,13,11200006
user62,62,Burst,14,9300005
user62,62,Burst,15,5800002
user63,63,Burst,14,14900011
user63,63,Burst,15,18700011
user64,64,Burst,12,4400000
user64,64,Burst,14,1200002
user64,64,Burst,15,11200009
user65,65,Burst,12,4100002
user65,65,Burst,14,9900013
user65,65,Burst,15,2800003
user66,66,Burst,12,3000004
user66,66,Burst,13,4200007
user66,66,Burst,14,4300006
user66,66,Burst,15,5300003
user67,67,Burst,13,15300036
user67,67,Burst,14,1500006
user68,68,Burst,13,11000016
user68,68,Burst,15,5800007
user69,69,Burst,12,10600000
user69,69,Burst,14,6200010
user70,70,Burst,12,2700001
user70,70,Burst,13,9500012
user70,70,Burst,15,4600004
user71,71,Burst,12,3900009
user71,71,Burst,13,6400013
user71,71,Burst,14,2900004
user71,71,Burst,15,3600012
user72,72,Burst,12,6000005
user72,72,Burst,13,10800030
user73,73,Burst,12,13700006
user73,73,Burst,14,3100006
user74,74,Burst,13,2800003
user74,74,Burst,15,14000008
user75,75,Burst,13,15000014
user75,75,Burst,14,1800002
user76,76,Burst,12,3900000
user76,76,Burst,15,12900011
user77,77,Burst,12,5500003
user77,77,Burst,13,5000007
user77,77,Burst,15,6300002
user78,78,Burst,12,9200000
user78,78,Burst,13,4600005
user78,78,Burst,15,3000002
user79,79,Burst,14,9100020
user79,79,Burst,15,7700000
user80,80,Burst,12,14800020
user80,80,Burst,13,2000002
user81,81,Burst,13,4000005
user81,81,Burst,14,4600002
user81,81,Burst,15,8200010
user82,82,UFSM,5,16688
user82,82,UFSM,6,16688
user82,82,UFSM,7,303344
user82,82,Burst,13,7900016
user82,82,Burst,14,6463288
user82,82,Burst,15,2100000
user83,83,Burst,12,5700006
user83,83,Burst,13,1500003
user83,83,Burst,14,5000013
user83,83,Burst,15,4600003
user84,84,Burst,12,3500000
user84,84,Burst,13,4800006
user84,84,Burst,14,4300008
user84,84,Burst,15,4200004
user85,85,Burst,12,2900000
user85,85,Burst,13,9200010
user85,85,Burst,15,4700006
user86,86,Burst,12,10700016
user86,86,Burst,15,6100000
user87,87,Burst,12,12800000
user87,87,Burst,14,4000006
user88,88,Burst,12,5000003
user88,88,Burst,13,6200018
user88,88,Burst,14,5600016
user89,89,Burst,14,10200015
user89,89,Burst,15,6600006
user90,90,Burst,13,9800010
user90,90,Burst,14,7000008
user91,91,Burst,12,10400000
user91,91,Burst,14,6400009
user92,92,Burst,12,8800012
user92,92,Burst,13,3800007
user92,92,Burst,14,4200006
user93,93,Burst,12,7800012
user93,93,Burst,14,5500000
user93,93,Burst,15,3500000
user94,94,Burst,12,2500000
user94,94,Burst,14,5300008
user94,94,Burst,15,9000010
user95,95,Burst,12,6300004
user95,95,Burst,13,4100008
user95,95,Burst,14,6400016
user96,96,Burst,13,5200008
user96,96,Burst,14,4500006
user96,96,Burst,15,7100004
user97,97,Burst,12,4200001
user97,97,Burst,13,4800007
user97,97,Burst,14,3300004
user97,97,Burst,15,4500003
user98,98,Burst,12,4500002
user98,98,Burst,13,2300004
user98,98,Burst,15,10000012
user99,99,Burst,12,7100000
user99,99,Burst,13,7900019
user99,99,Burst,15,1800000
user100,100,Burst,12,8000003
user100,100,Burst,13,6000007
user100,100,Burst,15,2800008
user101,101,Burst,12,3200006
user101,101,Burst,13,9900021
user101,101,Burst,14,3700010
user102,102,Burst,12,9200008
user102,102,Burst,13,3200005
user102,102,Burst,14,4400014
user103,103,Burst,12,5900007
user103,103,Burst,14,7400008
user103,103,Burst,15,3500001
user104,104,Burst,13,4100004
user104,104,Burst,14,10000024
user104,104,Burst,15,2700003
user105,105,Burst,13,6300012
user105,105,Burst,14,3700007
user105,105,Burst,15,6800005
user106,106,Burst,14,16800014
user107,107,Burst,12,4600000
user107,107,Burst,13,8300007
user107,107,Burst,15,3900006
user108,108,Burst,12,16800032
user109,109,Burst,12,5500005
user109,109,Burst,13,8500024
user109,109,Burst,14,2800006
user110,110,Burst,12,4100000
user110,110,Burst,13,3900006
user110,110,Burst,14,4200005
user110,110,Burst,15,4600011
user111,111,Burst,13,3500004
user111,111,Burst,14,3100008
user111,111,Burst,15,10200024
user112,112,Burst,12,5600008
user112,112,Burst,15,11200000
user113,113,Burst,13,2800000
user113,113,Burst,14,4600006
user113,113,Burst,15,9400010
user114,114,UFPel,1,4600160
user114,114,Burst,14,12200026
user115,115,Burst,12,3300006
user115,115,Burst,14,7800015
user115,115,Burst,15,5700004
user116,116,Burst,12,4400000
user116,116,Burst,14,3600004
user116,116,Burst,15,8800002
user117,117,Burst,12,3400000
user117,117,Burst,13,5100014
user117,117,Burst,14,8300008
user118,118,UFSM,6,32356
user118,118,Burst,12,4700004
user118,118,Burst,13,7267652
user118,118,Burst,15,4800013
user119,119,Burst,12,14100013
user119,119,Burst,15,2700002
user120,120,Burst,13,6500010
user120,120,Burst,14,10300012
user121,121,Burst,12,4800011
user121,121,Burst,13,4800012
user121,121,Burst,14,7200016
user122,122,IFSul,9,185304
user122,122,Burst,13,8300011
user122,122,Burst,15,8314719
user123,123,Burst,12,4300003
user123,123,Burst,13,3000011
user123,123,Burst,14,6500004
user123,123,Burst,15,3000004
user124,124,Burst,12,2900008
user124,124,Burst,13,10700022
user124,124,Burst,14,3200000
user125,125,Burst,12,3600000
user125,125,Burst,13,4800004
user125,125,Burst,14,3200004
user125,125,Burst,15,5200006
user126,126,Burst,12,7400010
user126,126,Burst,13,6400007
user126,126,Burst,14,3000003
user127,127,Burst,14,11200033
user127,127,Burst,15,5600002
user128,128,Burst,13,400008
user128,128,Burst,14,600002
user128,128,Burst,15,1000000
user129,129,Burst,13,1400021
user129,129,Burst,15,600000
user130,130,Burst,12,500000
user130,130,Burst,13,1500028
user131,131,Burst,12,700000
user131,131,Burst,13,700010
user131,131,Burst,15,600000
user132,132,Burst,12,700000
user132,132,Burst,14,1300006
user133,133,Burst,13,1100020
user133,133,Burst,14,900008
user134,134,Burst,12,400000
user134,134,Burst,13,600011
user134,134,Burst,14,1000005
user135,135,Burst,12,600000
user135,135,Burst,13,400007
user135,135,Burst,15,1000000
user136,136,Burst,12,400000
user136,136,Burst,13,1300022
user136,136,Burst,14,300000
user137,137,IFSul,10,500013
user137,137,Burst,12,400000
user137,137,Burst,13,1100019
user138,138,Burst,12,900000
user138,138,Burst,14,600004
user138,138,Burst,15,500000
user139,139,Burst,12,300000
user139,139,Burst,13,200004
user139,139,Burst,14,1000004
user139,139,Burst,15,500000
user140,140,Burst,12,600000
user140,140,Burst,14,1400008
user141,141,UFPel,1,400048
user141,141,Burst,13,600010
user141,141,Burst,14,1000004
user142,142,UFSM,4,400075
user142,142,Burst,12,400000
user142,142,Burst,14,500002
user142,142,Burst,15,700000
user143,143,Burst,12,900000
user143,143,Burst,14,500003
user143,143,Burst,15,600000
user144,144,UFPel,1,500036
user144,144,Burst,12,400000
user144,144,Burst,13,600011
user144,144,Burst,15,500000
user145,145,Burst,13,400008
user145,145,Burst,14,1200008
user145,145,Burst,15,400000
user146,146,Burst,12,600000
user146,146,Burst,13,900018
user146,146,Burst,14,500004
user147,147,UFPel,1,600050
user147,147,Burst,13,1100020
user147,147,Burst,14,300000
user148,148,Burst,12,1200000
user148,148,Burst,13,200004
user148,148,Burst,15,600000
user149,149,Burst,12,900000
user149,149,Burst,14,600001
user149,149,Burst,15,500000
user150,150,UFPel,1,900091
user150,150,Burst,14,600001
user150,150,Burst,15,500000
user151,151,Burst,14,800003
user151,151,Burst,15,1200000
user152,152,IFSul,8,6878
user152,152,IFSul,9,50670
user152,152,IFSul,10,13780
user152,152,Burst,12,335552
user152,152,Burst,13,893137
user152,152,Burst,15,700000
user153,153,UFPel,1,600066
user153,153,Burst,12,600000
user153,153,Burst,13,800012
user154,154,UFSM,4,500041
user154,154,Burst,12,300000
user154,154,Burst,14,1200007
user155,155,IFSul,11,1500188
user155,155,Burst,14,500004
user156,156,Burst,13,1000018
user156,156,Burst,14,700004
user156,156,Burst,15,300000
user157,157,UFSM,4,400195
