Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,8221,7521,9264,5975,1389,2066,0,0,0
UFPelH1,1,7649,10389,3752,737,4463,19119,679,0,0
UFPelH2,2,59,5032,4358,1187,3402,5137,20007,5313,352
UFPelH3,3,7336,728,4071,1276,4157,9100,14662,4993,524
UFSMH4,4,4915,1674,4840,515,4735,13919,5507,0,0
UFSMH5,5,18504,251,926,673,3922,12681,13801,1761,0
UFSMH6,6,9857,1904,2495,418,10134,12073,0,0,0
UFSMH7,7,19414,7593,1866,13076,7878,2247,1445,0,0
IFSulH8,8,17167,1271,3601,6207,4088,7833,3165,0,0
IFSulH9,9,1503,4367,1421,2362,2375,12470,10139,3663,120
IFSulH10,10,4912,4487,4681,2306,16705,8241,0,0,0
IFSulH11,11,14105,2262,3268,9607,6861,2814,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
