User,UserId,Host,HostId,nbInst
user00,0,UFPel,1,5500192
user00,0,UFPel,2,378438
user00,0,UFPel,3,22049510
user00,0,Burst,15,5672800
user01,1,UFSM,4,9200214
user01,1,UFSM,5,5900251
user01,1,UFSM,6,9200345
user01,1,UFSM,7,9300323
user02,2,IFSul,9,13100370
user02,2,IFSul,10,13000358
user02,2,IFSul,11,7500169
user03,3,UFPel,2,13100478
user03,3,UFPel,3,20500558
user04,4,UFSM,4,26401080
user04,4,UFSM,6,7200272
user05,5,IFSul,8,7300255
user05,5,IFSul,9,11100224
user05,5,IFSul,11,15200704
user06,6,UFPel,2,22700794
user06,6,UFPel,3,10900027
user07,7,UFSM,5,9200185
user07,7,UFSM,6,7500298
user07,7,UFSM,7,16900407
user08,8,IFSul,9,7400134
user08,8,IFSul,10,20500214
user08,8,IFSul,11,5700132
user09,9,UFPel,0,3900150
user09,9,UFPel,1,7500389
user09,9,UFPel,2,10900155
user09,9,UFPel,3,11300357
user10,10,UFSM,5,31500705
user10,10,UFSM,7,2100148
user11,11,IFSul,8,14700386
user11,11,IFSul,9,11400211
user11,11,IFSul,10,7500395
user12,12,UFPel,1,3700122
user12,12,UFPel,2,22400419
user12,12,UFPel,3,7500380
user13,13,UFSM,4,11200523
user13,13,UFSM,5,9600169
user13,13,UFSM,7,12800344
user14,14,IFSul,8,4000137
user14,14,IFSul,9,5400021
user14,14,IFSul,10,24200559
user15,15,UFPel,0,9300227
user15,15,UFPel,1,20500505
user15,15,UFPel,3,3800139
user16,16,UFSM,4,2800257
user16,16,UFSM,5,10200709
user16,16,UFSM,6,3800280
user17,17,IFSul,8,4300309
user17,17,IFSul,9,7600735
user17,17,IFSul,11,4900158
user18,18,UFPel,1,4800293
user18,18,UFPel,2,8100645
user18,18,UFPel,3,3900319
user19,19,UFSM,4,3700342
user19,19,UFSM,6,8000931
user19,19,UFSM,7,5100131
user20,20,IFSul,8,8300917
user20,20,IFSul,10,3300250
user20,20,IFSul,11,5200350
user21,21,UFPel,0,9800402
user21,21,UFPel,3,7000508
user22,22,UFSM,4,7800838
user22,22,UFSM,6,5100448
user22,22,UFSM,7,3900146
user23,23,IFSul,8,14001434
user23,23,IFSul,11,2800329
user24,24,UFPel,2,10900985
user24,24,UFPel,3,5900435
user25,25,UFSM,6,13201786
user25,25,UFSM,7,3600125
user26,26,IFSul,9,8000844
user26,26,IFSul,10,3600368
user26,26,IFSul,11,5200407
user27,27,UFPel,0,12200402
user27,27,UFPel,1,4600534
user28,28,UFSM,4,5500282
user28,28,UFSM,5,7600639
user28,28,UFSM,6,3700407
user29,29,IFSul,8,3300152
user29,29,IFSul,9,10600673
user29,29,IFSul,11,2900226
user30,30,UFPel,0,6300330
user30,30,UFPel,1,8300523
user30,30,UFPel,3,2200193
user31,31,UFSM,5,9000733
user31,31,UFSM,7,7800456
user32,32,IFSul,8,300064
user32,32,IFSul,9,300021
user32,32,IFSul,11,1400307
user33,33,UFPel,1,1100409
user33,33,UFPel,2,900315
user34,34,UFSM,4,500200
user34,34,UFSM,6,400136
user34,34,UFSM,7,1100375
user35,35,IFSul,8,1000304
user35,35,IFSul,9,600112
user35,35,IFSul,11,400091
user36,36,UFPel,0,700076
user36,36,UFPel,2,600165
user36,36,UFPel,3,700101
user37,37,UFSM,4,600256
user37,37,UFSM,5,700207
user37,37,UFSM,7,700368
user38,38,IFSul,9,700123
user38,38,IFSul,10,700272
user38,38,IFSul,11,600156
user39,39,UFPel,1,500102
user39,39,UFPel,2,300126
user39,39,UFPel,3,1200290
user40,40,UFSM,4,1500438
user40,40,UFSM,7,500222
user41,41,IFSul,8,500225
user41,41,IFSul,9,1300357
user41,41,IFSul,10,200059
user42,42,UFPel,0,700176
user42,42,UFPel,2,1300341
user43,43,UFSM,4,100061
user43,43,UFSM,7,1900688
user44,44,IFSul,8,500206
user44,44,IFSul,9,600195
user44,44,IFSul,11,900275
user45,45,UFPel,0,1400268
user45,45,UFPel,1,300100
user45,45,UFPel,3,300080
user46,46,UFSM,5,600176
user46,46,UFSM,6,300079
user46,46,UFSM,7,1100532
user47,47,IFSul,9,1000200
user47,47,IFSul,10,400127
user47,47,IFSul,11,600168
