User,UserId,Host,HostId,nbInst
user00,0,UFPel,1,5400105
user00,0,UFPel,2,11400283
user00,0,UFPel,3,16800127
user01,1,UFSM,4,9300131
user01,1,UFSM,5,5500070
user01,1,UFSM,6,9300384
user01,1,UFSM,7,9500092
user02,2,IFSul,9,13100273
user02,2,IFSul,10,13000290
user02,2,IFSul,11,7500300
user03,3,UFPel,2,13100105
user03,3,UFPel,3,20500407
user04,4,UFSM,4,26300776
user04,4,UFSM,6,7300181
user05,5,IFSul,8,7400062
user05,5,IFSul,9,11000025
user05,5,IFSul,11,15200630
user06,6,UFPel,2,22500467
user06,6,UFPel,3,11100047
user07,7,UFSM,5,9200360
user07,7,UFSM,6,7300024
user07,7,UFSM,7,17100338
user08,8,IFSul,9,7500216
user08,8,IFSul,10,20200406
user08,8,IFSul,11,5900262
user09,9,UFPel,0,4000103
user09,9,UFPel,1,7600316
user09,9,UFPel,2,10800162
user09,9,UFPel,3,11200236
user10,10,UFSM,5,31600651
user10,10,UFSM,7,2000114
user11,11,IFSul,8,14700401
user11,11,IFSul,9,11400248
user11,11,IFSul,10,7500213
user12,12,UFPel,1,4000136
user12,12,UFPel,2,22200489
user12,12,UFPel,3,7400030
user13,13,UFSM,4,11200055
user13,13,UFSM,5,9500280
user13,13,UFSM,7,12900063
user14,14,IFSul,8,3900144
user14,14,IFSul,9,5700025
user14,14,IFSul,10,24000390
user15,15,UFPel,0,9300268
user15,15,UFPel,1,20500270
user15,15,UFPel,3,3800074
user16,16,UFSM,4,5400156
user16,16,UFSM,5,6400327
user16,16,UFSM,6,5000543
user17,17,IFSul,8,4200260
user17,17,IFSul,9,9200413
user17,17,IFSul,11,3400245
user18,18,UFPel,1,3000186
user18,18,UFPel,2,9900307
user18,18,UFPel,3,3900184
user19,19,UFSM,4,5300209
user19,19,UFSM,6,7400463
user19,19,UFSM,7,4100333
user20,20,IFSul,8,9900696
user20,20,IFSul,10,1400101
user20,20,IFSul,11,5500303
user21,21,UFPel,0,10200511
user21,21,UFPel,3,6600301
user22,22,UFSM,4,8300385
user22,22,UFSM,6,4000195
user22,22,UFSM,7,4500226
user23,23,IFSul,8,13500732
user23,23,IFSul,11,3300147
user24,24,UFPel,2,11700322
user24,24,UFPel,3,5100196
user25,25,UFSM,6,11600454
user25,25,UFSM,7,5200378
user26,26,IFSul,9,7200333
user26,26,IFSul,10,5900347
user26,26,IFSul,11,3700136
user27,27,UFPel,0,13701581
user27,27,UFPel,1,3100145
user28,28,UFSM,4,3200114
user28,28,UFSM,5,10700489
user28,28,UFSM,6,2900177
user29,29,IFSul,8,2700138
user29,29,IFSul,9,8600335
user29,29,IFSul,11,5500166
user30,30,UFPel,0,3900110
user30,30,UFPel,1,7500203
user30,30,UFPel,3,5400193
user31,31,UFSM,5,10500333
user31,31,UFSM,7,6300396
user32,32,IFSul,8,500059
user32,32,IFSul,9,200006
user32,32,IFSul,11,1300424
user33,33,UFPel,1,1400182
user33,33,UFPel,2,600068
user34,34,UFSM,4,300020
user34,34,UFSM,6,500123
user34,34,UFSM,7,1200286
user35,35,IFSul,8,1300237
user35,35,IFSul,9,400051
user35,35,IFSul,11,300096
user36,36,UFPel,0,600199
user36,36,UFPel,2,300031
user36,36,UFPel,3,1100076
user37,37,UFSM,4,700062
user37,37,UFSM,5,800099
user37,37,UFSM,7,500100
user38,38,IFSul,8,400111
user38,38,IFSul,9,400032
user38,38,IFSul,10,1000206
user38,38,IFSul,11,200076
user39,39,UFPel,1,500058
user39,39,UFPel,2,700091
user39,39,UFPel,3,800051
user40,40,UFSM,4,1400192
user40,40,UFSM,7,600146
user41,41,IFSul,8,400090
user41,41,IFSul,9,900070
user41,41,IFSul,10,700210
user42,42,UFPel,0,1000329
user42,42,UFPel,2,1000182
user43,43,UFSM,4,100002
user43,43,UFSM,7,1900306
user44,44,IFSul,8,400047
user44,44,IFSul,9,700121
user44,44,IFSul,11,900309
user45,45,UFPel,0,1400272
user45,45,UFPel,1,200046
user45,45,UFPel,3,400062
user46,46,UFSM,5,700117
user46,46,UFSM,6,500054
user46,46,UFSM,7,800152
user47,47,IFSul,9,900110
user47,47,IFSul,10,600197
user47,47,IFSul,11,500166
