Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,0,2,106798
UFPelH1,1,0,0,0,0,0,0,0,4366,145044
UFPelH2,2,0,0,0,0,0,0,0,2,147484
UFPelH3,3,0,0,0,0,0,2500,7592,7399,136752
UFSMH4,4,0,0,0,0,0,2858,7162,2,106910
UFSMH5,5,0,0,0,0,0,0,0,2,102557
UFSMH6,6,0,0,1737,4000,3624,713,131,1349,97358
UFSMH7,7,0,0,0,0,0,0,0,2,98998
IFSulH8,8,0,0,0,0,0,0,0,2,103198
IFSulH9,9,0,0,0,0,0,0,8224,2,116859
IFSulH10,10,0,0,0,0,0,0,0,2,164673
IFSulH11,11,0,0,0,0,0,0,0,2,138729
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
