Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,81557,7498,1611,3502,10000,0,4098,0,94784
UFPelH1,1,126957,9000,4000,0,13650,2324,0,7018,113847
UFPelH2,2,0,688,0,0,0,1641,0,0,274155
UFPelH3,3,29105,5000,0,0,81,0,0,0,243610
UFSMH4,4,18083,4000,0,0,3842,1117,0,0,176248
UFSMH5,5,0,2000,0,0,16985,1250,0,0,201040
UFSMH6,6,36554,1655,8576,1424,1351,4562,1391,0,135687
UFSMH7,7,11011,2000,0,0,1132,0,0,0,183997
IFSulH8,8,40024,2000,0,0,1081,0,571,41,147823
IFSulH9,9,0,1587,413,0,0,734,0,0,212083
IFSulH10,10,1000,1000,0,0,4552,0,0,0,185988
IFSulH11,11,61720,15456,6769,8233,2512,4684,1986,2614,110256
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
