User,UserId,Host,HostId,nbInst
user00,0,UFPel,1,9280
user00,0,UFPel,2,33590745
user01,1,UFSM,4,16895232
user01,1,UFSM,5,16694613
user01,1,UFSM,6,10164
user02,2,IFSul,8,4303732
user02,2,IFSul,9,1970172
user02,2,IFSul,10,3025812
user02,2,IFSul,11,24300501
user03,3,UFPel,0,18791619
user03,3,UFPel,1,23668
user03,3,UFPel,2,14784746
user04,4,UFSM,5,7594014
user04,4,UFSM,6,11982
user04,4,UFSM,7,25994070
user05,5,IFSul,8,388656
user05,5,IFSul,9,86232
user05,5,IFSul,10,28608
user05,5,IFSul,11,33096608
user06,6,UFPel,0,27478433
user06,6,UFPel,1,27876
user06,6,UFPel,2,2193712
user06,6,UFPel,3,3900093
user07,7,UFSM,4,33600040
user08,8,IFSul,8,167754
user08,8,IFSul,9,147616
user08,8,IFSul,10,404678
user08,8,IFSul,11,32880482
user09,9,UFPel,0,33574229
user09,9,UFPel,1,25792
user10,10,UFSM,4,5394606
user10,10,UFSM,6,50358
user10,10,UFSM,7,28155085
user11,11,IFSul,8,786510
user11,11,IFSul,9,276186
user11,11,IFSul,10,30766
user11,11,IFSul,11,32506682
user12,12,UFPel,0,16564630
user12,12,UFPel,1,56980
user12,12,UFPel,2,16978400
user13,13,UFSM,4,13500016
user13,13,UFSM,7,20100013
user14,14,IFSul,8,74384
user14,14,IFSul,9,10728
user14,14,IFSul,10,927944
user14,14,IFSul,11,32587012
user15,15,UFPel,0,27670614
user15,15,UFPel,1,42880
user15,15,UFPel,2,5886520
user16,16,UFSM,5,6097046
user16,16,UFSM,6,19488
user16,16,UFSM,7,10683532
user17,17,IFSul,8,74664
user17,17,IFSul,9,670446
user17,17,IFSul,10,233928
user17,17,IFSul,11,15821047
user18,18,UFPel,0,8000016
user18,18,UFPel,1,9596
user18,18,UFPel,2,2890414
user18,18,UFPel,3,5900131
user19,19,UFSM,4,3400007
user19,19,UFSM,5,7900068
user19,19,UFSM,7,5500013
user20,20,IFSul,8,15264
user20,20,IFSul,9,557612
user20,20,IFSul,10,313826
user20,20,IFSul,11,15913346
user21,21,UFPel,0,7400012
user21,21,UFPel,3,9400368
user22,22,UFSM,5,12589285
user22,22,UFSM,6,10800
user22,22,UFSM,7,4200009
user23,23,IFSul,8,630496
user23,23,IFSul,9,332902
user23,23,IFSul,10,68608
user23,23,IFSul,11,15768034
user24,24,UFPel,2,13600058
user24,24,UFPel,3,3200063
user25,25,UFSM,5,4200017
user25,25,UFSM,6,31586
user25,25,UFSM,7,12568460
user26,26,IFSul,8,490182
user26,26,IFSul,9,206620
user26,26,IFSul,10,914446
user26,26,IFSul,11,15188784
user27,27,UFPel,2,16800036
user28,28,UFSM,4,4882618
user28,28,UFSM,5,11900093
user28,28,UFSM,6,17394
user29,29,IFSul,8,3051382
user29,29,IFSul,9,4136712
user29,29,IFSul,10,1071896
user29,29,IFSul,11,8540039
user30,30,UFPel,1,21216
user30,30,UFPel,2,12378829
user30,30,UFPel,3,4400210
user31,31,UFSM,4,9500031
user31,31,UFSM,5,7300054
user32,32,IFSul,8,799756
user32,32,IFSul,9,208014
user32,32,IFSul,10,192238
user32,32,IFSul,11,800013
user33,33,UFPel,0,1474592
user33,33,UFPel,1,25416
user33,33,UFPel,2,500006
user34,34,UFSM,4,400008
user34,34,UFSM,5,580821
user34,34,UFSM,6,26692
user34,34,UFSM,7,992504
user35,35,IFSul,8,1200004
user35,35,IFSul,9,398502
user35,35,IFSul,10,1504
user35,35,IFSul,11,400013
user36,36,UFPel,1,7798
user36,36,UFPel,2,792216
user36,36,UFPel,3,1200139
user37,37,UFSM,4,1500028
user37,37,UFSM,5,500004
user38,38,IFSul,8,600000
user38,38,IFSul,9,400006
user38,38,IFSul,10,400008
user38,38,IFSul,11,600013
user39,39,UFPel,0,491547
user39,39,UFPel,1,8454
user39,39,UFPel,2,500010
user39,39,UFPel,3,1000119
user40,40,UFSM,4,1200021
user40,40,UFSM,7,800000
user41,41,IFSul,8,500004
user41,41,IFSul,9,1100020
user41,41,IFSul,10,400002
user42,42,UFPel,0,1500009
user42,42,UFPel,2,500008
user43,43,UFSM,4,300006
user43,43,UFSM,7,1700000
user44,44,IFSul,8,400002
user44,44,IFSul,9,600006
user44,44,IFSul,11,1000061
user45,45,UFPel,0,1100006
user45,45,UFPel,1,500000
user45,45,UFPel,3,400030
user46,46,UFSM,5,600007
user46,46,UFSM,6,500000
user46,46,UFSM,7,900000
user47,47,IFSul,9,1200016
user47,47,IFSul,10,500006
user47,47,IFSul,11,300013
