Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,2000,42149,42123,0,0,0,0,0,0
UFPelH1,1,0,0,0,0,0,0,0,0,0
UFPelH2,2,0,0,0,0,0,0,0,0,0
UFPelH3,3,0,0,0,0,0,0,0,0,0
UFSMH4,4,37655,13424,35193,0,0,0,0,0,0
UFSMH5,5,0,0,0,0,0,0,0,0,0
UFSMH6,6,0,0,0,0,0,0,0,0,0
UFSMH7,7,0,0,0,0,0,0,0,0,0
IFSulH8,8,44288,37968,4016,0,0,0,0,0,0
IFSulH9,9,0,0,0,0,0,0,0,0,0
IFSulH10,10,0,0,0,0,0,0,0,0,0
IFSulH11,11,0,0,0,0,0,0,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
