User,UserId,Host,HostId,nbInst
user00,0,UFPel,1,4300000
user00,0,UFPel,2,3800000
user00,0,UFPel,3,25500350
user01,1,UFSM,4,10900413
user01,1,UFSM,5,11300382
user01,1,UFSM,6,5500000
user01,1,UFSM,7,5900000
user02,2,IFSul,9,18700559
user02,2,IFSul,10,3700000
user02,2,IFSul,11,11200382
user03,3,UFPel,2,11500139
user03,3,UFPel,3,22100665
user04,4,UFSM,4,15900336
user04,4,UFSM,6,3400000
user05,5,IFSul,8,1400000
user05,5,IFSul,9,3100000
user05,5,IFSul,11,12300156
user06,6,UFPel,2,14200000
user06,6,UFPel,3,2600000
user07,7,UFSM,5,5400000
user07,7,UFSM,6,2400000
user07,7,UFSM,7,6500000
user08,8,IFSul,9,700000
user08,8,IFSul,10,1100000
user08,8,IFSul,11,300000
user09,9,UFPel,0,600000
user09,9,UFPel,1,700000
user09,9,UFPel,2,300000
user09,9,UFPel,3,400000
user10,10,UFSM,5,1400000
user10,10,UFSM,7,600000
user11,11,IFSul,8,800000
user11,11,IFSul,9,600000
user11,11,IFSul,10,600000
