User,UserId,Host,HostId,nbInst
user00,0,UFPel,1,4100000
user00,0,UFPel,2,4000305
user00,0,UFPel,3,25500121
user01,1,UFSM,4,11000268
user01,1,UFSM,5,11000413
user01,1,UFSM,6,5800000
user01,1,UFSM,7,5800000
user02,2,IFSul,9,18700329
user02,2,IFSul,10,3800000
user02,2,IFSul,11,11100242
user03,3,UFPel,2,11400327
user03,3,UFPel,3,22200323
user04,4,UFSM,4,16900540
user04,4,UFSM,6,2400000
user05,5,IFSul,8,2500000
user05,5,IFSul,9,3400000
user05,5,IFSul,11,10900504
user06,6,UFPel,2,13500809
user06,6,UFPel,3,3300239
user07,7,UFSM,5,3700000
user07,7,UFSM,6,2400000
user07,7,UFSM,7,8200000
user08,8,IFSul,9,500000
user08,8,IFSul,10,1100000
user08,8,IFSul,11,500144
user09,9,UFPel,0,400000
user09,9,UFPel,1,800000
user09,9,UFPel,2,400144
user09,9,UFPel,3,400128
user10,10,UFSM,5,1500000
user10,10,UFSM,7,500000
user11,11,IFSul,8,1100000
user11,11,IFSul,9,600000
user11,11,IFSul,10,300000
