Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,11390,0,0,0,0,0,0,0,0
UFPelH1,1,37898,6432,0,0,0,0,0,0,0
UFPelH2,2,17280,1247,3317,4521,7283,8487,2198,0,0
UFPelH3,3,2000,3,478,0,8390,14982,19480,0,0
UFSMH4,4,0,3990,5514,9766,3485,6667,0,0,0
UFSMH5,5,3909,10051,16129,1333,0,0,0,0,0
UFSMH6,6,2182,18728,4522,0,0,0,0,0,0
UFSMH7,7,11550,5161,9216,4495,0,0,0,0,0
IFSulH8,8,19182,6000,0,0,0,0,0,0,0
IFSulH9,9,1000,14071,7306,7694,2000,1250,0,0,0
IFSulH10,10,29321,3000,2000,0,0,0,0,0,0
IFSulH11,11,0,8887,4116,14116,950,0,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
