Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,8762,3000,0,1000,0,0,0,0,0
UFPelH1,1,2205,1000,13000,2000,2000,1250,0,0,0
UFPelH2,2,60314,2816,592,0,3468,3074,0,8620,57207
UFPelH3,3,0,408,592,0,0,426,0,0,133665
UFSMH4,4,0,0,0,0,3551,1250,6482,0,56523
UFSMH5,5,25307,6580,0,0,6460,15768,6671,7020,2000
UFSMH6,6,14834,7245,13245,21755,3000,0,0,0,0
UFSMH7,7,25413,2000,5000,1101,9195,7625,7195,2017,9260
IFSulH8,8,38674,15238,3881,0,0,0,0,0,0
IFSulH9,9,0,0,0,0,9212,0,7576,8135,33907
IFSulH10,10,38957,2000,7979,4516,3283,278,0,1313,2504
IFSulH11,11,0,0,0,0,990,2250,0,17976,36567
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
