User,UserId,Host,HostId,nbInst
user00,0,UFPel,0,5182800
user00,0,UFPel,1,1307490
user00,0,UFPel,2,6321565
user00,0,UFPel,3,20788654
user01,1,UFSM,4,2949506
user01,1,UFSM,5,9354713
user01,1,UFSM,6,15620876
user01,1,UFSM,7,5675389
user02,2,IFSul,8,13578953
user02,2,IFSul,9,6098905
user02,2,IFSul,10,11961892
user02,2,IFSul,11,1960854
user03,3,UFPel,0,8122200
user03,3,UFPel,1,1267708
user03,3,UFPel,2,9077260
user03,3,UFPel,3,15133039
user04,4,UFSM,4,5303944
user04,4,UFSM,5,13532067
user04,4,UFSM,6,465566
user05,5,IFSul,8,2300101
user05,5,IFSul,9,3600266
user05,5,IFSul,11,10900716
user06,6,UFPel,0,110150
user06,6,UFPel,1,732784
user06,6,UFPel,2,12157692
user06,6,UFPel,3,3800156
user07,7,UFSM,4,1573954
user07,7,UFSM,5,3312319
user07,7,UFSM,6,1198093
user07,7,UFSM,7,8216345
user08,8,IFSul,9,400149
user08,8,IFSul,10,1000346
user08,8,IFSul,11,700266
user09,9,UFPel,0,400062
user09,9,UFPel,1,600026
user09,9,UFPel,2,300061
user09,9,UFPel,3,700075
user10,10,UFSM,5,1500277
user10,10,UFSM,7,500137
user11,11,IFSul,8,1100371
user11,11,IFSul,9,400147
user11,11,IFSul,10,500154
