Host,HostId,Idle,25%,50%,75%,100%,125%,150%,175%,>= 200%
UFPelH0,0,0,0,0,0,0,0,0,0,0
UFPelH1,1,16978,17472,0,0,0,0,0,0,0
UFPelH2,2,15494,18956,0,0,0,0,0,0,0
UFPelH3,3,8249,11291,15868,0,0,0,0,0,0
UFSMH4,4,16215,18655,0,0,0,0,0,0,0
UFSMH5,5,5920,27860,0,0,0,0,0,0,0
UFSMH6,6,13665,16885,0,0,0,0,0,0,0
UFSMH7,7,16953,18447,0,0,0,0,0,0,0
IFSulH8,8,0,0,0,0,0,0,0,0,0
IFSulH9,9,0,0,0,0,0,0,0,0,0
IFSulH10,10,0,0,0,0,0,0,0,0,0
IFSulH11,11,0,0,0,0,0,0,0,0,0
BurstH12,12,0,0,0,0,0,0,0,0,0
BurstH13,13,0,0,0,0,0,0,0,0,0
BurstH14,14,0,0,0,0,0,0,0,0,0
BurstH15,15,0,0,0,0,0,0,0,0,0
